[769, 300;
 761, 936;
 762, 937;
 765, 937;
 766, 938;
 769, 938;
 770, 939;
 774, 939;
 775, 940;
 778, 940;
 779, 941;
 782, 941;
 783, 942;
 786, 942;
 787, 943;
 791, 943;
 792, 944;
 795, 944;
 796, 945;
 799, 945;
 800, 946;
 803, 946;
 804, 947;
 808, 947;
 809, 948;
 812, 948;
 813, 949;
 816, 949;
 817, 950;
 820, 950;
 821, 951;
 824, 951;
 825, 952;
 829, 952;
 830, 953;
 833, 953;
 834, 954;
 837, 954;
 838, 955;
 841, 955;
 842, 956;
 846, 956;
 847, 957;
 850, 957;
 851, 958;
 854, 958;
 855, 959;
 858, 959;
 859, 960;
 863, 960;
 864, 961;
 867, 961;
 868, 962;
 871, 962;
 872, 963;
 875, 963;
 876, 964;
 880, 964;
 881, 965;
 884, 965;
 885, 966;
 888, 966;
 889, 967;
 892, 967;
 893, 968;
 896, 968;
 897, 969;
 901, 969;
 902, 970;
 905, 970;
 906, 971;
 909, 971;
 910, 972;
 913, 972;
 914, 973;
 918, 973;
 919, 974;
 922, 974;
 923, 975;
 926, 975;
 927, 976;
 930, 976;
 931, 977;
 935, 977;
 936, 978;
 939, 978;
 940, 979;
 943, 979;
 944, 980;
 947, 980;
 948, 981;
 951, 981;
 952, 982;
 956, 982;
 957, 983;
 960, 983;
 961, 984;
 964, 984;
 965, 985;
 968, 985;
 969, 986;
 973, 986;
 974, 987;
 977, 987;
 978, 988;
 981, 988;
 982, 989;
 985, 989;
 986, 988;
 986, 987;
 987, 986;
 987, 985;
 988, 984;
 988, 983;
 989, 982;
 989, 981;
 990, 980;
 990, 979;
 992, 977;
 992, 976;
 993, 975;
 993, 974;
 994, 973;
 994, 972;
 995, 971;
 995, 970;
 996, 969;
 996, 968;
 997, 967;
 997, 966;
 998, 965;
 998, 964;
 999, 963;
 999, 962;
 1000, 961;
 1000, 960;
 1001, 959;
 1001, 958;
 1002, 957;
 1002, 956;
 1003, 955;
 1003, 954;
 1004, 953;
 1004, 952;
 1005, 951;
 1005, 950;
 1006, 949;
 1006, 948;
 1007, 947;
 1007, 946;
 1009, 944;
 1009, 943;
 1010, 942;
 1010, 941;
 1011, 940;
 1011, 939;
 1012, 938;
 1012, 937;
 1013, 936;
 1013, 935;
 1014, 934;
 1014, 933;
 1015, 932;
 1015, 931;
 1016, 930;
 1016, 929;
 1017, 928;
 1017, 927;
 1018, 926;
 1018, 925;
 1019, 924;
 1019, 923;
 1020, 922;
 1020, 921;
 1021, 920;
 1021, 919;
 1022, 918;
 1022, 917;
 1023, 916;
